Country,State,City,Station_name,Timestamp(UTC),PM2.5,US_AQI,Main pollutant,r1,r2,r3,r4,
USA,Pennsylvania,Avalon,Avalon,2021-08-21 00:00:00,15.21,58,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,2021-09-02 00:00:00,6.58,27,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,2021-09-21 00:00:00,9.5,39,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,2021-09-25 00:00:00,9.13,38,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,2021-10-02 00:00:00,16.38,60,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,2021-10-07 00:00:00,4.17,17,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,2021-10-08 00:00:00,6.0,25,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,2021-10-26 00:00:00,3.67,15,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,2021-11-14 00:00:00,5.17,21,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,2021-11-22 00:00:00,7.91,33,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,2021-11-28 00:00:00,11.57,48,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,2021-12-20 00:00:00,6.08,25,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,2021-12-24 00:00:00,6.25,26,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,2021-12-30 00:00:00,12.46,52,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,2022-01-09 00:00:00,9.96,41,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,2022-01-16 00:00:00,5.88,24,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,2022-01-19 00:00:00,9.65,40,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,2022-01-25 00:00:00,10.78,45,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,2022-02-16 00:00:00,14.29,56,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,2022-02-19 00:00:00,5.42,22,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,2022-02-23 00:00:00,8.14,34,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,2022-03-07 00:00:00,8.92,37,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,2022-03-09 00:00:00,11.0,45,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,2022-03-21 00:00:00,8.42,35,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,2022-03-22 00:00:00,10.75,44,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,2022-03-23 00:00:00,7.25,30,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,2022-04-04 00:00:00,10.9,45,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,2022-04-06 00:00:00,7.38,30,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,2022-04-12 00:00:00,7.25,30,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,2022-04-14 00:00:00,5.91,24,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,2022-04-17 00:00:00,3.54,15,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,2022-04-21 00:00:00,8.83,36,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,2022-05-04 00:00:00,6.5,27,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,2022-06-06 00:00:00,9.42,39,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,2022-06-10 00:00:00,6.29,26,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,2022-06-16 00:00:00,19.69,67,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,2022-06-23 00:00:00,6.36,26,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,2022-07-08 00:00:00,6.66,28,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,2022-07-10 00:00:00,7.47,31,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,2022-07-28 00:00:00,7.96,33,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,2022-08-03 00:00:00,8.45,35,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,2022-08-05 00:00:00,7.52,31,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,2022-08-09 00:00:00,6.69,28,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,2022-08-10 00:00:00,4.89,20,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,2022-08-11 00:00:00,8.25,34,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,2022-08-16 00:00:00,5.93,25,PM2.5,,,,,
USA,Pennsylvania,Avalon,Avalon,2022-08-28 00:00:00,11.72,48,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),2015-12-19 00:00:00,5.62,23,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),2015-12-30 00:00:00,7.39,31,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),2016-01-04 00:00:00,5.26,22,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),2016-01-18 00:00:00,6.88,28,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),2016-01-20 00:00:00,11.82,49,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),2016-02-25 00:00:00,4.64,19,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),2016-02-26 00:00:00,5.55,23,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),2016-03-25 00:00:00,7.09,29,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),2016-03-30 00:00:00,5.24,22,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),2016-04-04 00:00:00,7.58,31,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),2016-04-10 00:00:00,6.0,25,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),2016-04-22 00:00:00,11.71,48,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),2016-04-26 00:00:00,14.67,56,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),2016-04-28 00:00:00,4.22,17,PM2.5,,,,,
USA,Pennsylvania,McKeesport,Liberty (SAHS),2016-05-10 00:00:00,8.54,35,PM2.5,,,,,
